state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
AL,85,area_code_408,no,yes,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,no
ND,118,area_code_408,no,no,-10,224.6,94,38.18,225.9,120,19.2,269,105,12.11,12.5,8,3.38,2,no
PA,122,area_code_415,no,no,0,1901.8,62,5.97,1112.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1,no
IA,1,area_code_408,no,yes,26,208,115,35.36,185,113,15.73,177.7,144,8,8.1,9,2.19,1,no
WA,110,area_code_510,no,no,0,185.1,100,31.47,165.1,88,14.03,111.6,104,5.02,6.3,4,1.7,3,no
NY,NA,area_code_408,no,no,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,yes
WV,86,area_code_415,no,yes,38,123,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,no
TN,105,area_code_510,no,no,0,119.3,82,20.28,185.1,111,15.73,157,74,7.07,10.9,4,2.94,2,no
NC,54,area_code_415,yes,no,0,190.5,108,32.39,259.7,108,22.07,141.5,111,6.37,9.7,2,2.62,2,yes
KS,87,area_code_510,no,no,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,no
AZ,163,area_code_510,no,no,0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,no
OK,149,area_code_408,no,no,0,187.6,83,31.89,201.4,81,17.12,264.2,79,11.89,8.8,1,2.38,1,no
DC,169,area_code_415,yes,no,0,2060.5,98,9.71,1131.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,no
DE,115,area_code_415,no,no,0,195.9,111,33.3,227,108,19.3,313.2,113,14.09,13.2,1,3.56,2,no
UT,108,area_code_415,no,no,0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0,no
AZ,87,area_code_510,no,no,0,110.9,91,18.85,NA,115,13.47,207.5,131,9.34,6.2,5,1.67,1,no
AZ,62,area_code_408,no,yes,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,no
MS,70,area_code_408,no,no,0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0,no
MD,93,area_code_408,yes,no,0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0,yes
SC,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,no
RI,104,area_code_408,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,no
WV,43,area_code_415,no,no,0,199.9,108,33.98,288.4,80,24.51,180.6,103,8.13,11.3,7,3.05,1,no
TX,NA,area_code_408,no,no,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,no
NY,99,area_code_415,no,no,0,145.6,102,24.75,230.9,87,19.63,181.5,86,8.17,11.4,7,3.08,1,no
MT,60,area_code_408,no,no,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,no
OK,15,area_code_415,no,no,0,1983.7,130,20.59,1148,86,18.36,235.1,33,10.58,16.1,5,4.35,2,no
NE,91,area_code_510,no,no,-4,159,109,27.03,255.1,142,21.68,82.4,73,3.71,10.1,4,2.73,0,no
AL,172,area_code_408,no,no,0,2036.8,102,45.9,1188.6,111,21.81,168.5,104,7.58,12,5,3.24,2,yes
CA,60,area_code_415,yes,no,0,183,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3,1,no
MS,122,area_code_408,no,yes,45,147.8,85,25.13,147.4,93,12.53,203.5,110,9.16,14,5,3.78,1,no
NH,130,area_code_415,no,no,0,213.1,105,36.23,NA,108,17.53,163.4,93,7.35,8.9,3,2.4,0,no
KY,75,area_code_415,no,no,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,yes
AL,90,area_code_415,no,no,0,1988.1,97,36.53,1049.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,no
MS,68,area_code_415,no,no,0,94.1,93,16,147.6,80,12.55,213.5,85,9.61,10.1,2,2.73,0,no
AZ,43,area_code_415,no,no,0,179.3,97,30.48,252.7,126,21.48,227.5,114,10.24,8,NA,2.16,0,no
SC,107,area_code_415,no,no,0,206.9,79,35.17,NA,117,22.3,149.3,69,6.72,10.7,3,2.89,0,no
NE,NA,area_code_415,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,no
WV,123,area_code_415,no,no,0,175.7,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2,no
SC,93,area_code_415,no,no,0,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,0,no
NH,115,area_code_510,no,no,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3,no
HI,169,area_code_415,no,no,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,no
NE,123,area_code_415,no,no,0,150,98,25.5,89.8,95,7.63,326,91,14.67,11.1,3,3,3,no
NH,93,area_code_408,no,no,-5,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,no
WV,80,area_code_415,no,no,0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0,no
ND,-132,area_code_510,no,no,0,163.2,80,27.74,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,1,no
CT,135,area_code_415,yes,no,0,2042.5,107,31.62,998,94,5.61,213.1,105,9.59,12.9,4,3.48,1,no
HI,NA,area_code_510,no,no,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13,4,3.51,1,no
MT,10,area_code_510,no,no,0,183,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2,no
UT,93,area_code_415,no,no,0,164.9,68,28.03,210.4,86,17.88,229.4,104,10.32,7.8,4,2.11,2,no
AK,59,area_code_510,no,no,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,no
LA,NA,area_code_415,no,no,0,212.1,98,36.06,189.4,89,16.1,352.2,95,15.85,8.4,5,2.27,3,no
TX,86,area_code_510,no,no,0,92.8,92,15.78,159.6,87,13.57,148.7,115,6.69,8.8,5,2.38,1,no
KS,167,area_code_415,no,no,0,2036.5,120,22.37,1143.3,96,17.96,168.3,97,7.57,11.1,4,3,4,yes
WY,123,area_code_415,no,no,0,242.2,87,41.17,226.1,101,19.22,268.6,121,12.09,8.2,3,2.21,5,yes
DC,66,area_code_415,no,no,0,167.3,91,28.44,230,68,19.55,191.7,118,8.63,10.6,NA,2.86,1,yes
AR,163,area_code_408,no,no,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,no
WI,126,area_code_415,yes,yes,34,244.9,118,41.63,NA,105,18.67,210.8,136,9.49,9.7,6,2.62,4,no
ND,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,no
PA,97,area_code_510,yes,no,0,145,103,24.65,294.3,93,25.02,239.8,120,10.79,11,2,2.97,4,yes
TX,51,area_code_415,no,no,0,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10,3,2.7,2,no
RI,-121,area_code_510,no,yes,20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0,no
PA,124,area_code_415,no,no,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,no
NJ,93,area_code_415,no,no,0,146.3,85,24.87,216.6,95,18.41,233,82,10.49,11.5,3,3.11,0,no
AZ,84,area_code_415,no,no,0,159,80,27.03,167.9,128,14.27,167.6,101,7.54,12.3,5,3.32,1,no
TN,140,area_code_415,no,no,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,no
DC,148,area_code_415,no,yes,38,209.2,110,35.56,116.6,73,9.91,109.6,105,4.93,16.5,4,4.46,2,no
IN,161,area_code_510,no,yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,no
OH,87,area_code_510,no,no,0,153.3,106,26.06,NA,117,19.08,273.4,152,12.3,8.9,5,2.4,2,no
KS,NA,area_code_510,no,yes,37,161.2,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1,no
SC,41,area_code_510,no,no,0,207.2,138,35.22,214.1,83,18.2,193,105,8.69,11.9,4,3.21,1,no
LA,67,area_code_510,no,no,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,no
SD,163,area_code_415,yes,no,0,197.2,90,33.52,188.5,113,16.02,211.1,94,9.5,7.8,8,2.11,1,no
NE,74,area_code_415,no,yes,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,no
DC,41,area_code_408,no,yes,37,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,no
OH,134,area_code_408,no,no,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,no
TX,159,area_code_415,no,no,0,87.7,103,14.91,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1,no
VT,101,area_code_510,no,no,0,0,0,0,192.1,119,16.33,168.8,95,7.6,7.2,4,1.94,1,no
OR,101,area_code_415,no,no,0,118.6,89,20.16,199.6,97,16.97,53.3,61,2.4,11.5,5,3.11,1,no
NC,118,area_code_408,yes,yes,39,153.8,106,26.15,NA,111,10.48,117.8,103,5.3,9.2,6,2.48,1,no
MA,NA,area_code_408,yes,no,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97,3,yes
NY,NA,area_code_408,no,no,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6,7,1.62,1,no
UT,71,area_code_415,no,no,0,278.9,110,47.41,190.2,67,16.17,255.2,84,11.48,11.7,7,3.16,0,yes
WA,62,area_code_415,no,no,0,100,98,17,173.5,95,14.75,218,122,9.81,10.1,4,2.73,0,no
NY,156,area_code_408,no,no,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,no
AZ,85,area_code_408,no,no,0,201.4,52,34.24,NA,104,19.5,252.5,106,11.36,12,3,3.24,1,no
GA,133,area_code_510,no,no,0,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,4.7,7,1.27,0,no
MO,6,area_code_510,no,no,-10,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,no
WV,72,area_code_510,no,yes,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,yes
SC,112,area_code_415,no,no,0,266,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2,yes
NH,130,area_code_408,no,no,0,2013.8,86,11.63,1125.3,110,16.43,171.5,139,7.72,10.4,4,2.81,0,no
KY,72,area_code_408,no,no,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8,6,2.16,1,no
CO,NA,area_code_415,no,no,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,no
NH,146,area_code_510,no,no,-10,115.6,77,19.65,213.6,100,18.16,218.4,72,9.83,10.7,6,2.89,1,no
SD,-209,area_code_415,no,no,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,no
CT,107,area_code_408,no,no,0,90.7,90,15.42,NA,109,17.64,169.4,96,7.62,5.6,5,1.51,2,no
CA,33,area_code_408,no,no,0,159.5,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,1.92,1,no
WI,117,area_code_408,no,yes,14,1988.7,81,13.63,1151,103,18.62,122.6,102,5.52,8.6,2,2.32,1,no
DC,73,area_code_408,no,no,0,122,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1,no
CO,120,area_code_510,no,yes,-10,153.5,84,26.1,194,73,16.49,256.5,94,11.54,10.2,7,2.75,5,no
UT,59,area_code_510,no,no,0,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1,no
MS,29,area_code_510,no,no,-8,313.2,103,53.24,216.3,151,18.39,218.4,106,9.83,12.8,4,3.46,2,yes
NV,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,no
NY,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,no
MS,121,area_code_415,no,yes,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,no
LA,27,area_code_408,no,no,0,82.6,105,14.04,204,99,17.34,224.2,122,10.09,9.1,NA,2.46,1,no
HI,98,area_code_415,no,yes,31,181.6,112,30.87,220.7,100,18.76,236.3,121,10.63,12.9,4,3.48,2,no
MA,79,area_code_415,no,no,-1,156.9,109,26.67,122.2,87,10.39,189.1,103,8.51,11.3,5,3.05,3,no
NH,NA,area_code_510,no,no,0,228.1,93,38.78,136.4,106,11.59,197.3,107,8.88,9,2,2.43,1,no
DC,NA,area_code_415,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,no
AZ,144,area_code_510,yes,no,0,2027.8,100,34.6,1179.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,no
IA,197,area_code_415,no,no,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,9.5,3,2.57,0,no
DE,NA,area_code_408,no,no,0,215.6,74,36.65,192.9,98,16.4,144,103,6.48,10.1,4,2.73,5,no
NJ,139,area_code_415,no,yes,43,231,85,39.27,222.3,82,18.9,148,105,6.66,8.3,5,2.24,2,no
RI,74,area_code_415,no,no,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,no
HI,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,no
GA,18,area_code_408,no,no,0,197,97,33.49,203.7,107,17.31,202,105,9.09,8.7,3,2.35,3,no
AL,25,area_code_408,no,no,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1,yes
WV,94,area_code_415,no,yes,28,92.7,107,15.76,127.8,86,10.86,225.6,86,10.15,9.9,NA,2.67,3,no
LA,NA,area_code_510,no,no,0,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1,no
KY,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,no
SC,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,yes
LA,153,area_code_510,no,no,0,166.8,127,28.36,143.5,121,12.2,210.7,130,9.48,11.8,4,3.19,0,no
VT,193,area_code_408,no,yes,17,124,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,no
IN,NA,area_code_415,no,yes,42,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,9.5,3,2.57,0,no
NJ,85,area_code_415,no,no,0,236.9,93,40.27,NA,113,16.8,309.1,78,13.91,11.4,7,3.08,2,yes
NY,31,area_code_408,no,yes,28,1934.7,116,29.21,1172.7,125,20.46,245.5,80,11.05,10.6,7,2.86,1,no
HI,73,area_code_408,no,no,0,187.3,118,31.84,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08,1,no
AR,109,area_code_415,no,yes,29,111.2,90,18.9,263.5,98,22.4,224.7,128,10.11,9,6,2.43,6,yes
WI,120,area_code_415,no,yes,29,244.3,140,41.53,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86,0,no
GA,58,area_code_408,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,no
SC,64,area_code_510,no,yes,37,2059.9,92,26.28,1015.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,no
KY,21,area_code_415,no,no,0,92.6,95,15.74,161.9,70,13.76,285,78,12.83,11.3,3,3.05,5,yes
SC,NA,area_code_408,no,no,0,288,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,yes
ND,149,area_code_408,no,no,0,175.4,80,29.82,197.4,127,16.78,188.2,102,8.47,9.7,2,2.62,2,no
MI,86,area_code_408,no,no,0,148.2,71,25.19,285.1,91,24.23,166.4,155,7.49,6.2,3,1.67,2,no
DC,103,area_code_510,no,yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,no
AR,59,area_code_510,no,yes,29,2058,114,22.63,1153.2,82,18.8,131.6,103,5.92,6.8,3,1.84,1,no
AZ,134,area_code_415,no,yes,40,142.9,105,24.29,88.6,61,7.53,290,96,13.05,10.8,6,2.92,1,no
MS,78,area_code_415,no,yes,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,no
NV,96,area_code_408,no,no,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,no
TX,90,area_code_408,yes,no,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,no
OR,140,area_code_415,no,no,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,yes
OH,123,area_code_408,no,yes,39,270.4,99,45.97,NA,110,20.83,108.9,113,4.9,15.4,7,4.16,1,no
WI,112,area_code_408,no,no,0,167.8,88,28.53,247.9,81,21.07,155.1,108,6.98,11.9,4,3.21,0,no
NE,126,area_code_415,no,no,0,249.8,96,42.47,261.9,92,22.26,166.8,108,7.51,12.7,4,3.43,3,yes
NH,174,area_code_408,no,no,0,139.4,96,23.7,143.4,108,12.19,225.2,107,10.13,10,5,2.7,2,no
LA,150,area_code_415,no,no,0,136.6,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4,yes
NY,NA,area_code_408,no,yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,no
MT,60,area_code_415,no,no,-10,145,133,24.65,209.1,92,17.77,328.5,112,14.78,14.6,2,3.94,1,no
GA,70,area_code_415,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,no
ND,135,area_code_510,yes,yes,24,127.7,54,21.71,215,105,18.28,234.3,84,10.54,5.8,4,1.57,2,no
IA,100,area_code_408,no,no,0,210.9,85,35.85,329.3,69,27.99,127.1,78,5.72,9.4,5,2.54,4,no
AK,173,area_code_510,no,no,0,172.5,78,29.33,NA,91,12.12,102,63,4.59,10.9,2,2.94,0,no
FL,161,area_code_415,yes,no,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,NA,3,2,no
UT,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,no
AR,185,area_code_415,no,yes,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,no
WY,53,area_code_415,no,yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,no
FL,84,area_code_510,no,no,0,191,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,no
NE,105,area_code_415,no,yes,27,141.2,96,24,167.7,94,14.25,274.4,101,12.35,11.4,2,3.08,1,no
ME,78,area_code_415,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,no
SC,159,area_code_415,no,yes,23,153.6,93,26.11,216.9,88,18.44,161.3,91,7.26,12.6,3,3.4,2,no
FL,68,area_code_415,no,yes,24,176,118,29.92,277.9,116,23.62,174.7,71,7.86,14.7,7,3.97,1,no
NC,161,area_code_415,no,no,0,322.3,100,54.79,230.4,135,19.58,241.5,104,10.87,7.8,5,2.11,2,yes
DE,131,area_code_408,no,no,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,no
NJ,NA,area_code_415,no,yes,34,146.4,104,24.89,89.7,103,7.62,220,91,9.9,15.6,4,4.21,2,no
IL,156,area_code_415,no,no,0,174.5,65,29.67,197.4,116,16.78,238.5,86,10.73,10.6,2,2.86,0,no
NV,138,area_code_510,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17,4,4.59,3,no
MN,135,area_code_408,no,no,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3,no
WA,83,area_code_408,no,no,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,no
MD,97,area_code_415,no,no,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,no
OH,83,area_code_510,no,no,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,no
VA,NA,area_code_415,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,no
VT,117,area_code_408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,yes
MO,NA,area_code_415,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,no
WY,43,area_code_415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,no
TX,NA,area_code_408,no,no,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,no
NH,-75,area_code_510,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,no
MI,53,area_code_510,no,yes,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12,9,3.24,2,no
DE,129,area_code_510,no,no,0,334.3,118,56.83,192.1,104,16.33,191,83,8.59,10.4,6,2.81,0,yes
UT,144,area_code_510,no,yes,37,219.9,102,37.38,NA,77,18.88,118.5,111,5.33,10,4,2.7,1,no
FL,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,no
OK,159,area_code_510,no,no,0,2013,107,33.8,1127.5,91,16.62,213.3,120,9.6,16.5,7,4.46,5,no
GA,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,no
KS,88,area_code_415,no,no,-1,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,no
OK,86,area_code_510,yes,no,0,162.4,131,27.61,167,102,14.2,128.9,118,5.8,11.4,2,3.08,2,yes
IN,105,area_code_510,no,yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,no
KS,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,no
MN,101,area_code_415,no,no,0,183.9,115,31.26,255.9,101,21.75,275,145,12.38,10.8,NA,2.92,1,no
CA,79,area_code_510,no,no,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,yes
NE,82,area_code_408,no,no,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,no
VA,153,area_code_510,no,no,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,no
AK,48,area_code_415,no,yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,no
SC,78,area_code_510,no,no,0,168.3,110,28.61,221.2,73,18.8,241,136,10.85,12.5,1,3.38,1,no
VT,159,area_code_415,no,no,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2,2,yes
NE,21,area_code_510,no,no,0,2128.3,110,38.25,1176.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0,no
CO,63,area_code_415,no,no,0,2079.5,84,36.01,1162.9,137,19.63,217.1,99,9.77,10.7,9,2.89,3,no
MA,160,area_code_408,no,no,0,166.8,109,28.36,236,117,20.06,307.6,77,13.84,9.3,1,2.51,1,no
CO,141,area_code_415,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,no
AK,156,area_code_510,no,no,0,2059.1,96,21.03,1035,80,8.76,189.4,82,8.52,13.1,4,3.54,1,no
AR,88,area_code_408,no,no,0,152.9,119,25.99,171.2,107,14.55,257,106,11.57,12,5,3.24,2,no
SC,NA,area_code_510,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,no
MA,120,area_code_415,no,no,0,137.3,100,23.34,212.2,129,18.04,152.7,92,6.87,10.5,2,2.84,1,no
AK,61,area_code_415,no,yes,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10,3,2.7,2,no
IN,100,area_code_415,no,yes,-8,218.7,104,37.18,155,144,13.18,99,117,4.46,12.1,4,3.27,1,no
GA,27,area_code_510,no,no,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,no
MT,73,area_code_408,no,yes,26,131.2,98,22.3,106.5,97,9.05,221.7,96,9.98,10.2,6,2.75,2,no
FL,105,area_code_415,no,no,-8,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,yes
GA,98,area_code_408,no,no,0,169.9,77,28.88,138.3,155,11.76,142.6,105,6.42,8.5,7,2.3,1,no
OH,123,area_code_408,no,no,0,105,150,17.85,NA,90,21.39,258,93,11.61,14.9,5,4.02,0,no
CT,94,area_code_415,no,no,0,206.1,49,35.04,224.6,115,19.09,256.7,74,11.55,13,1,3.51,1,no
HI,148,area_code_510,yes,no,0,218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,0,no
WV,50,area_code_510,no,no,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11,5,2.97,1,no
IA,42,area_code_415,no,no,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9,3,2.43,0,no
AZ,94,area_code_408,no,no,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,no
MS,69,area_code_510,no,yes,27,2098.8,78,45.7,1178.6,89,20.96,271.9,102,12.24,16.4,3,4.43,0,no
KY,NA,area_code_415,no,yes,40,108.6,90,18.46,206.4,154,17.54,126.3,118,5.68,13.4,4,3.62,0,no
AR,109,area_code_510,no,no,0,175.4,125,29.82,250.7,87,21.31,289.3,74,13.02,9.8,NA,2.65,1,no
CO,90,area_code_408,no,yes,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,no
PA,88,area_code_510,no,no,0,2018.6,76,37.09,1101.3,60,14.39,141.1,99,6.35,8,1,2.16,1,no
WA,NA,area_code_415,no,no,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2,no
OR,136,area_code_510,no,no,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1,yes
MA,39,area_code_408,no,no,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,no
AK,1,area_code_408,no,no,-6,175.2,74,29.78,151.7,79,12.89,230.5,109,10.37,5.3,3,1.43,1,no
AL,NA,area_code_510,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,no
MO,160,area_code_415,no,no,0,2000.1,103,29.1,1175.5,121,20.7,178.2,92,8.02,13,3,3.51,2,no
MS,NA,area_code_510,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11,6,2.97,1,no
WY,80,area_code_510,no,no,0,101.1,121,17.19,263.2,110,22.37,137.7,74,6.2,7.3,5,1.97,0,no
